path|transcript|duration
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_259.wav|راحه غ|3.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_262.wav|انست باش كنقول كانت واح الوم كبيره وهدشي|4.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_263.wav|يعني من نقط القوه انني عندي الحوار لان|3.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_264.wav|الام ديالي ك تحاورنا في كل|2.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_266.wav|وق حب حياتي|4.659
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_267.wav|كنت ما فهمتش انا قلت راه مشى بسكو كانت|3.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_268.wav|سين وبالنسبه لي راه ماما لاكوز هي اللي|2.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_269.wav|دفعته باش يمشي دونك ما كانش بيز دو|2.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_270.wav|كونسون وماما ماخيبت وش لناي كقولك باباكم|4.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_271.wav|فعل تارك داير فيما كنقول كقولك بابا ا|3.741
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_273.wav|ابلي و ل و قال تغدي وكنت كنكتب ليي وعند|5.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_275.wav|حافظت على الصوره ديته والحمد لله انها|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_276.wav|حافظت على الصوره|1.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_277.wav|ديته رسالتي لعيالات|2.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_278.wav|الليخ يكون الاب كيف ما بغى يكون حافظي|4.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_279.wav|الصوره على بلادك ماي عليه هو هو|4.661
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_282.wav|بكو كترم كقدر كنمشي نزور في البلاصه فين|5.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_283.wav|هو مع الزوجه ديته الزوجه دياله لسانه|3.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_284.wav|طيبه جدا كتست قبلني بيكون والله العلي|2.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_285.wav|العظيم قلتلك انا جاي قال لي بنتي قولي|1.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_286.wav|واش ت وه في تعشي مع وه والله العظيم|5.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_287.wav|مت حبتي ماقدر عن عن عندي غ عندي رابيد|4.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_288.wav|وغادي نعاود نطلع ولا مره ماما خلاتني|2.739
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_289.wav|انني نشوف ان واحد الانسان اللي هو خيب|2.461
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_290.wav|الله يخليلك ما امين امين يا رب ويخلي|3.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_291.wav|ويخلي لهم ماتهم ويخلي لهم بواهم الاباء|4.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_292.wav|الصالحه والامهات الصالحه كين ح|4.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_293.wav|الاموا ماما لعبت دور كبير جوين|5.939
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_296.wav|يقوللك مش|2.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_297.wav|خلان احنا في ك تنفع الوعي ماي القرايه|3.14
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_298.wav|ابكون على ماما قريه ماما كانت|3.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_300.wav|كيقرا وان عارفه باباك كيقرا فتقولي باباك|4.659
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_301.wav|غدي يرجع غ رسمتي واحد الصوره انك انا عشت|4.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_303.wav|طويله انه|2.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_304.wav|يرجع واحد السؤال فش عرفتي باللي ماغديش|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_306.wav|اكاست علاش س|3.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_308.wav|سي كحرق|3.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_310.wav|انج تقخ شحال من كيبلين توقفت على القرايه|5.579
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_311.wav|شحال ضربت في الزنقه|4.221
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_312.wav|شحال كان مرحله صعيبه صعيبه جدا ماما عت|4.259
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_313.wav|معيا معانه كبيره|3.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_315.wav|ماز كضرب|4.221
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_317.wav|عن هرست ولد|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_318.wav|منل مفتش عش|3.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_322.wav|يا اما انت|1.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_323.wav|معيا كنشوفك|2.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_324.wav|بحالي يا اما انت ضدي وماك تنتمي ل صفي|4.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_325.wav|ماكينش الوين ماشك الناس عنده باوات هذ|4.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_326.wav|هيمال كال مايكونش لاحظت من رديت رجعت|5.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_327.wav|لقيت صحباتي اللي كانوا واحد لاب قراب ل|4.22
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_328.wav|كانوا بوات موفي جيرنا بع لاصقين الاب|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_329.wav|دياله متوفى واحد صاحبتي اخرى الاب ديالها|3.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_334.wav|الفيم احسن رساله|5.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_336.wav|احن بعد كبت|4.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_341.wav|يعني البنت|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_342.wav|ماصدقتش غي من العائله ع كيقول كيخرج واحد|4.261
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_343.wav|في العائله ال ماشي هو هذاك كانتك انتوين|2.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_344.wav|جبت الباك ب 10 ما يمكنش امبوسيبل بنات مي|4.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_345.wav|كوزين كلشي كيقرا كلشي ب بون نو كلشي لي|3.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_346.wav|كيكول كيفاش هذ جت جايبه بع وبيان س ماما|4.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_347.wav|كان عندها جوج توجهات يا اما غ خصي ندخل|2.699
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_348.wav|بع لا فونكسي بليك ندخل زعما ننتمي للدوله|4.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_349.wav|نخدم كم|2.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_350.wav|وظفه وزعما كان عندها واحد الامل انني|4.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_351.wav|نخرج نقرا الونجي ا فونس عند واحد|5.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_352.wav|زعما عند لا|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_354.wav|صدم كان راس|4.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_355.wav|صحون بحال كيكون في يعني قتلك ماماش|5.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_356.wav|لفرنسا باش نقرا ولا|2.981
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_357.wav|صدمها صدمها هذاك|3.219
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_358.wav|الشخص باش انني نجي عنده فرنسا بلي|3.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_360.wav|ديالهم مع انها هي اللي سفط اه دونك هو|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_361.wav|اللي كان من|2.819
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_362.wav|د فيها خير|1.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_363.wav|انكرا دار فيها خير انه صدمني صدمها باش|3.619
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_364.wav|مامشيش فرنسا ودار فيها خير انني وليت انا|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_365.wav|كعيت من ذاك البلايص اللي هو براسه فرنسا|2.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_366.wav|عمره ما|1.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_367.wav|تخليه حيت كشد واحد الكارني كتب|4.259
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_369.wav|بيسون اي|2.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_370.wav|انسان في الحياه ديالي واحدواحد ش كرج|4.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_371.wav|كنقول بالعربيه ش كرج|2.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_372.wav|قك عنديش نضيع ف ولكن خليته يشوف حيت|5.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_373.wav|زوينه تكون انت في فرنسا عندك بانك درتي|2.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_374.wav|شي اكسب في حياتك وانت تعيطي ليه فرنسا في|3.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_375.wav|واححد البلاصه اللي هو في فرنسا وعمره ما|1.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_376.wav|دخل ليها وعمره ما يدخل لها وتقولي انت|2.979
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_377.wav|فرنسا ديالك انا فرنسا كشي فيها فكون وحال|3.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_378.wav|فيها كونش درت لاسون كان عندنا كان|5.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_379.wav|عنديك انا كجي خدامه فرنسا وكنس البلاصه|3.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_380.wav|انت في فرنسا دون فرنسا دخلت لها بمي|3.219
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_381.wav|كونسيون ماي بدي كونسيون راه ربي اللي|2.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_382.wav|كيعطي لي|1.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_383.wav|كونسيون را كفاهم كفاهم طغيانا بداكشي|4.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_384.wav|اللي كيسحاب راسهم عندهم راه ما عندهم حتى|2.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_385.wav|حاجه راه ربي منلي كيقول كلمته را تجف|3.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_386.wav|السطر كرفع الاقلام وك تسدو الكتب هما|5.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_387.wav|شافوا شافوني قد هكا حيت كانوا حاطين ماما|4.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_388.wav|قد هكا لكن ربي قال حاجه|4.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_389.wav|اخرى دونك كان ان غف انا ما كراش نمشي|4.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_392.wav|نشق انا حلم يمكن من الاحلام لان الناس|3.659
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_393.wav|اللي كانوا لونج كله كان كيمشي كيقرا في|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_394.wav|الخارج وانا ماما غير موظف على قد الحال|2.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_395.wav|حيت هذاك الشخص هو اللي كان|3.741
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_396.wav|يضمني ماماك سون سغ ما|5.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_397.wav|تقدرش ولكن ربي كبير|5.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_398.wav|سوفر خدمت الحمد لله|3.101
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_399.wav|هي فجيت فجيت لرباط|3.019
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_404.wav|عليه الحياه اللي بغيت عشت فيها ولكن كرجع|4.781
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_405.wav|نبات في دارنا|3.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_408.wav|عند كقلب شكون يقبلنا في الصيف ما عندنا|4.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_410.wav|ش كيفاش كانك التجربه دي ممتعه جدا انت|4.859
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_412.wav|يخدم اقل خدمه تق|3.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_413.wav|تخدمها تكون قاري عندك واحد ديبلوم وتمش|4.059
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_414.wav|تخدم اقل خدمه ما اي حد|3.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_416.wav|مادخلت 3500 درهم|3.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_417.wav|وسمى جاكلين|2.819
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_420.wav|مشكل فرن|2.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_421.wav|انا كنت عارف كنخدم على الفلوس واحد النار|3.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_422.wav|ندي بو ونجلس الكرسي جالس فيه الطون ديالي|3.339
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_423.wav|وربي ما خيبش|3.221
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_424.wav|تشاش بدات|3.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_426.wav|مع في العز ديال|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_428.wav|يلا معهم كق|3.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_429.wav|كنجيب كندخل من الاولين وخرج من الاخرين|3.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_430.wav|عقلي ما ف حاجه|4.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_435.wav|بفرق عليك|2.739
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_436.wav|بيفي كتعرف كتفي مراته كتفي|3.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_437.wav|وليدات كانت عندي خطه|3.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_440.wav|ونحرك كت كخدم كنت عارفه راسي ان شاء الله|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_441.wav|غدي نحل|2.381
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_449.wav|للهد 3|2.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_450.wav|3 3|3.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_453.wav|كقول طرقت لبزنس من الاول حخر سفيس|4.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_454.wav|صبون اصعب|4.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_456.wav|كسجل بح كتقول طرقت|4.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_457.wav|الحرفه من بعد|3.581
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_458.wav|درتي لا من بعد|4.539
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_461.wav|2009 2008|2.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_465.wav|2010 كان|2.499
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_467.wav|هذاك في الليلل|1.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_468.wav|صعيب كنا هذا كنا في|3.861
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_471.wav|كنبقى نشوف فيها وتقول حتى اناحد النهار|4.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_472.wav|غدي ندخل نمشي لاميزون والله العظيم زعما|3.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_473.wav|ربي شوف لا مستحي مع الله شش ح انا غدي|3.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_474.wav|ندخل واحد النهار لاميزون نش قسما بالله|3.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_475.wav|كان لالون ديال الطوموبيل ودخلت لاميزون س|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_478.wav|ق ه السيد انا عمرني نساه قالي لا بنتي|3.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_479.wav|سيرجيبي تجيبي|2.261
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_480.wav|باباك علاش شحال عندي|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_481.wav|انا باقى صغيره عندي|5.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_482.wav|وقيلا وم انا طويلا وغليض|5.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_484.wav|المدرسه قلتله عفاك بغيت نسولك دار في|3.101
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_485.wav|بحال هكا وقلتله بغيت ناخذ قال لا بنتي|2.859
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_486.wav|سري تجيبي|1.661
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_488.wav|باقي ما عندناش سوك كينه هذو صالون نوا|2.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_489.wav|وكين حده بيضه تبعت قلتله غدي ناخذ هذ|4.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_490.wav|كحله قال شحال عندك فلاش قلتله عندي|3.979
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_491.wav|2 قال وعارفه ديك طبي شحال كدير قلتله|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_492.wav|عارفها شحال كدير قلتله تقدر تحل نطلع|3.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_493.wav|نشوفها شوف هذك خديتها اندي ماص|5.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_494.wav|من عظم منم|2.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_497.wav|منس واحد الاحساس خلينا من كتقول|4.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_498.wav|فرحون فرحوني وشي الطوموبيل درت 18 عام|4.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_499.wav|وفقي وي|3.059
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_500.wav|لا راني شفت فيها الويل ديك|3.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_501.wav|الطوموبيل راني خدمت|5.381
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_502.wav|عليها ضربت فيها ضربت|4.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_505.wav|فيها الحد|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_506.wav|ماجد مايمكنش عشوف واحد الكبال تجمع باش|5.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_508.wav|بان من كيكون الانسان ما عندوش|3.981
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_509.wav|ديو انه عن انا ما عنديش الدار سكنه فيديو|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_510.wav|في اد وشيه طوبي حطها انا تشوفي فا كي|4.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_511.wav|وتقولي الانسان عنده شي حلم بغي|4.101
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_512.wav|يحق ميساج خص يكون عندك|4.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_513.wav|هدف خص تكون عندك|2.659
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_516.wav|امنتش بانك تقدر را حى حد ماغ يجي يقوللك|2.8200625
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_517.wav|من برا راك تقدر را تحد بون سغير حيت ال|4.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_518.wav|ما امنتش انت براسك ماكينش يقدر يامن فيك|3.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_519.wav|وهذا هو الافج اللي كان عندي انا كنت|2.3409375
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_521.wav|براسي بغض النظر على ان ربي سبحانه وتعالى|4.3800625
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_522.wav|فذاك الوقت ما كانوش عندي هذ المعتقدات|2.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_523.wav|اللي انا كنهضر بهم دا ولكن فذاك الوقت|2.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_524.wav|الحاجه اللي كنت عارفها كان عندي هدف كانت|2.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_525.wav|عندي خطه وكان عندي واحد لونج مقد كنقول|4.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_526.wav|مقد ما كان فيه حى|2.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_527.wav|واحد وكانت عندي كنت مامنه براسي وصورتي|4.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_528.wav|الذاتيه كانت خلاوها مانيفا رائعه جدا كنت|4.741
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_529.wav|كنشوف راسي ككبر من اي حاجه انا بغيتها|3.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_530.wav|نوز المرحله ديال ان درتي سبيل من بعد|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_532.wav|لكون وانت كتفكر ان مشك لاباز دوني وترجعي|4.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_533.wav|نقطه بحال نقول نقطه الصفر كيفش|4.939
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_534.wav|تقبلتها هذك المرحله دي نعطيك الصراحه|4.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_535.wav|نعطيك الخطه جوج|2.019
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_537.wav|الط مني يوقعلك ان دروب شنو شنو الفرق ما|5.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_538.wav|بين انسان ناجح وانسان فاشل الانسان|3.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_539.wav|الفاشل كعيش الفشل دياله بت|3.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_540.wav|تفاصيله الطويله والعريضه ببكائه بشعوره|4.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_541.wav|بالاحباط دياله بالسيمون بكلشي يغرق فيلي|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_543.wav|اتوماتي كيكون عنده افكار سوداويه على|3.701
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_544.wav|نفسه الصوره الذاتيه كضرب كيعطي سيمون|2.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_545.wav|كلهم داون فذاك الوقت|3.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_550.wav|الحديد لا ما كان شي حد تحد ديفورس انا|5.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_552.wav|انك ماكينش السند ع ماكينش على من|4.579
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_555.wav|ربي قسما بالله شوف اللي يقوللك نقطعوا|5.019
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_556.wav|المعجزات قله قله الله ينالك علاش انا|5.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_557.wav|راجعه بقى كعقل وان في طريق مكناس|5.581
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_559.wav|واحد والله العلي العظيم ال كنت محيدا كيت|5.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_560.wav|منساب ع|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_561.wav|قال ديالك في والشركه فضنا وبق|5.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_562.wav|ديكش نعود ان|4.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_563.wav|كخدم قتله مرحبا|3.459
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_564.wav|وحق الله|3.701
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_567.wav|ديالي نعرف|4.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_568.wav|القم يفشل|3.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_569.wav|اعترفت به هذه هي الخطه اللي كقول جوج انا|3.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_570.wav|اعترفت لكلشي فشلت انا ما هربت ما تخبيت|3.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_571.wav|ما تفوش فيك الناس شوف الذا كينه شي حاجه|3.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_572.wav|كردك كلادي هي هذه لانك تشفا هي خرجت لون|5.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_573.wav|فاس تقوليه مرايت قلتلك ال ديسون جيتي هذا|4.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_574.wav|صفي اه وي درت فاي درت فاي درت فاي درت|5.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_575.wav|فايض درت فايض ايوا ش غديري ايوا يكون|4.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_576.wav|الله زعما ل الامور نشوفوا ربي شنو غادي|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_577.wav|يدير اه مسكينه|2.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_578.wav|اه كلشي|2.3
